Date,Open,High,Low,Close,Volume
2010-01-04,297.44,302.45,299.12,301.66,875501.0
2010-01-05,301.66,305.0,300.5,304.05,2338584.0
2010-01-06,304.05,311.0,304.5,308.71,2806810.0
2010-01-07,308.71,312.5,306.44,306.93,2143888.0
2010-01-08,306.93,309.4,306.0,306.91,708007.0
2010-01-11,306.91,311.9,307.5,308.29,1539889.0
2010-01-12,308.29,309.4,304.58,305.64,882907.0
2010-01-13,305.64,308.0,304.49,305.2,549643.0
2010-01-14,305.2,307.99,304.5,305.71,814662.0
2010-01-15,305.71,313.0,307.0,308.96,2594580.0
2010-01-18,308.96,312.34,306.05,309.07,1293919.0
2010-01-19,309.07,315.8,309.7,314.15,2561264.0
2010-01-20,314.15,324.9,311.25,318.49,4709253.0
2010-01-21,318.49,318.5,310.0,310.73,2242993.0
2010-01-22,310.73,314.5,308.56,311.62,1110258.0
2010-01-25,311.62,312.5,308.04,308.95,411661.0
2010-01-26,308.95,311.39,307.5,308.08,506251.0
2010-01-27,308.08,310.97,306.9,307.33,471683.0
2010-01-28,307.33,310.5,293.99,299.52,2165919.0
2010-01-29,299.52,302.7,297.01,299.52,578070.0
2010-02-01,299.52,305.0,299.05,300.14,627986.0
2010-02-02,300.14,305.3,299.85,302.14,1100045.0
2010-02-03,302.14,304.0,300.2,301.54,457164.0
2010-02-04,301.54,308.5,303.0,305.18,1464541.0
2010-02-08,305.18,306.39,303.0,305.16,375420.0
2010-02-09,305.16,313.6,306.25,307.47,2754782.0
2010-02-10,307.47,310.4,304.7,305.56,1040009.0
2010-02-11,305.56,307.48,305.0,305.44,270613.0
2010-02-12,305.44,307.5,300.01,300.91,1614081.0
2010-02-15,300.91,298.5,295.2,297.55,610721.0
2010-02-16,297.55,301.1,298.5,299.94,379415.0
2010-02-17,299.94,306.95,302.55,303.45,1940310.0
2010-02-18,303.45,306.7,303.35,304.02,741289.0
2010-02-19,304.02,306.25,303.0,303.66,465793.0
2010-02-22,303.66,309.25,303.25,307.77,1463430.0
2010-02-23,307.77,308.89,303.0,303.57,803575.0
2010-02-24,303.57,305.0,298.0,298.57,591910.0
2010-02-25,298.57,300.88,296.07,298.95,516753.0
2010-02-26,298.95,303.0,299.0,299.33,350806.0
2010-03-01,299.33,301.9,293.51,295.74,308047.0
2010-03-02,295.74,299.8,293.12,296.97,438576.0
2010-03-03,296.97,298.8,292.05,292.93,224737.0
2010-03-04,292.93,297.9,292.21,296.6,264616.0
2010-03-05,296.6,301.5,296.8,300.59,507820.0
2010-03-08,300.59,304.0,298.0,303.54,814338.0
2010-03-09,303.54,307.8,302.5,307.23,1474989.0
2010-03-10,307.23,310.6,306.1,309.87,2419577.0
2010-03-11,309.87,312.85,309.21,310.21,1509202.0
2010-03-12,310.21,313.3,307.05,311.76,1492483.0
2010-03-15,311.76,317.0,312.53,313.67,1422173.0
2010-03-16,313.67,316.0,309.0,309.95,948925.0
2010-03-17,309.95,312.0,305.0,306.13,973715.0
2010-03-18,306.13,307.3,304.62,305.37,294148.0
2010-03-19,305.37,308.3,305.62,307.47,420545.0
2010-03-22,307.47,309.5,306.01,308.56,356436.0
2010-03-24,308.56,312.37,309.5,311.2,865156.0
2010-03-25,311.2,315.99,311.31,312.04,1160936.0
2010-03-26,312.04,315.99,310.05,312.59,969016.0
2010-03-29,312.59,314.35,308.6,309.8,518427.0
2010-03-30,309.8,313.5,307.5,308.13,1386388.0
2010-03-31,308.13,311.8,308.0,309.79,973379.0
2010-04-01,309.79,315.7,311.7,314.59,1890919.0
2010-04-02,314.59,320.9,315.9,320.02,2397349.0
2010-04-05,320.02,323.7,318.95,320.82,1289878.0
2010-04-06,320.82,323.18,316.0,318.09,2018355.0
2010-04-07,318.09,321.7,318.05,320.23,1510666.0
2010-04-08,320.23,321.6,317.5,318.88,469878.0
2010-04-09,318.88,322.02,318.65,319.35,872709.0
2010-04-12,319.35,320.5,316.0,316.34,345647.0
2010-04-13,316.34,316.45,311.65,312.34,455812.0
2010-04-14,312.34,314.98,311.5,313.19,402757.0
2010-04-15,313.19,318.0,313.02,316.83,500651.0
2010-04-16,316.83,320.25,317.0,319.51,926470.0
2010-04-19,319.51,320.0,316.1,316.63,318070.0
2010-04-20,316.63,318.3,314.53,315.01,679769.0
2010-04-21,315.01,315.0,310.1,311.57,783106.0
2010-04-22,311.57,319.99,311.99,318.33,1783864.0
2010-04-23,318.33,319.0,315.1,315.51,294511.0
2010-04-26,315.51,318.15,313.05,313.95,428303.0
2010-04-27,313.95,315.75,313.95,314.51,238754.0
2010-04-28,314.51,317.8,313.2,317.24,532487.0
2010-04-29,317.24,318.75,314.8,315.4,492566.0
2010-04-30,315.4,315.85,312.51,313.88,234717.0
2010-05-03,313.88,317.0,313.11,314.12,366467.0
2010-05-04,314.12,317.45,313.71,314.14,866533.0
2010-05-05,314.14,315.98,313.3,314.68,589790.0
2010-05-06,314.68,316.75,313.35,313.99,1326629.0
2010-05-07,313.99,314.0,299.02,303.54,2071175.0
2010-05-10,303.54,305.5,302.75,304.11,397926.0
2010-05-11,304.11,307.4,301.5,302.69,261759.0
2010-05-12,302.69,303.38,298.16,302.04,488353.0
2010-05-13,302.04,303.75,299.62,303.01,325292.0
2010-05-14,303.01,304.1,300.5,301.49,289737.0
2010-05-17,301.49,300.6,291.15,292.77,569290.0
2010-05-18,292.77,298.97,291.21,298.54,638302.0
2010-05-19,298.54,300.4,294.05,299.54,802912.0
2010-05-20,299.54,300.9,294.75,296.05,317129.0
